a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r,winding_b,s_branch,branch_over_own,obs_r_branch
1.3,-1,sgd,0,5.932277269475824e-06,860030,4.977631284189091,4.903125,-1,0.0037587468812496,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0151956730022364,-1,4.972906791787421,1.0142321053996013,0.0009500464415443943
1.3,-1,sgd,0,5.932277269475824e-06,860031,5.838252613036638,5.834375,-1,0.0022385330718304,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0006646149821769,-1,5.8322620067214395,0.9996378372527374,0.001027149724805776
1.3,-1,sgd,0,5.932277269475824e-06,860032,5.407209356358439,5.403125,-1,0.004087464644777,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0007559248320996,-1,5.401335507139681,0.9996688040975696,0.0010874809037493272
1.3,-1,sgd,0,5.932277269475824e-06,860033,4.765683070050731,4.759375,-1,-0.0014800081330044,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0013253988287811,-1,4.761023807791217,1.0003464336790475,0.0009786261206863323
1.3,-1,sgd,0,5.932277269475824e-06,860034,4.395172676085315,5.296875,-1,-0.0031562371496951,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.1702328871107369,-1,4.391500972662051,0.8290739299420982,0.0008360930456627891
1.3,-1,sgd,0,5.932277269475824e-06,860035,5.403361478302984,4.790625,-1,0.0013187101004659,False,0.0001312396513991,7.619648401522177,0.001,-1,0.1279032440032321,-1,5.398022434508462,1.126788766498831,0.000989074028368453
1.3,-1,sgd,0,5.932277269475824e-06,860036,5.231242485664374,5.228125,-1,0.0006153331031448,False,0.0001312396513991,7.619648401522177,0.001,-1,0.000596291340466,-1,5.226069651668261,0.9996068670256089,0.0009898134431602923
1.3,-1,sgd,0,5.932277269475824e-06,860037,5.5456976401035325,5.540625,-1,0.0031742282174374,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0009155357208856,-1,5.539018436404993,0.9997100392834729,0.0012058460854076358
1.3,-1,sgd,0,5.932277269475824e-06,860038,5.299774302152,5.296875,-1,-0.0004238539262901,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0005473608782535,-1,5.2939509204526,0.9994479613833818,0.0011000067410715797
1.3,-1,sgd,0,5.932277269475824e-06,860039,5.382853727432272,5.378125,-1,-0.0098501376497619,False,0.0001312396513991,7.619648401522177,0.001,-1,0.000879252050161,-1,5.376380316683799,0.9996755963618918,0.0012040462852644929
