act,a,depth,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
3.0,3.0,8,8,1000,77,0.99615,0.9980999827384949,False,0.7838388085365295,0.007749676704406738
3.0,3.0,8,8,4000,74,0.9963,0.9994000196456909,False,1.10520339012146,0.001649964484386146
3.0,3.0,8,8,16000,83,0.99585,1.0,False,2.1842329502105713,5.078820777271176e-07
3.0,3.0,8,8,64000,77,0.99615,1.0,False,3.2106246948242188,2.068382400466362e-06
relu,,8,5,1000,10000,0.5,0.5,False,0.42441079020500183,0.6931471228599548
relu,,8,5,4000,10000,0.5,0.5,False,0.42441079020500183,0.6931471228599548
relu,,8,5,16000,10000,0.5,0.5,False,0.42450401186943054,0.6931471824645996
relu,,8,5,64000,10000,0.5,0.5,False,0.4234563410282135,0.6931470632553101
3.0,3.0,8,9,1000,148,0.9926,0.9962999820709229,False,1.129309058189392,0.015253260731697083
3.0,3.0,8,9,4000,38,0.9981,0.9993000030517578,False,1.451316237449646,0.003666458884254098
3.0,3.0,8,9,16000,81,0.99595,0.9994999766349792,False,2.4845728874206543,0.0027701787184923887
3.0,3.0,8,9,64000,81,0.99595,0.9991999864578247,False,4.209784507751465,0.004117927979677916
relu,,8,6,1000,1898,0.9051,0.906499981880188,False,1.4323639869689941,0.1995604932308197
relu,,8,6,4000,181,0.99095,0.9955000281333923,False,2.587876319885254,0.018121754750609398
relu,,8,6,16000,164,0.9918,0.9959999918937683,False,6.083235740661621,0.016260270029306412
relu,,8,6,64000,164,0.9918,0.9962000250816345,False,8.810005187988281,0.015650032088160515
relu,,8,7,1000,495,0.97525,0.9818999767303467,False,1.7241867780685425,0.05832966789603233
relu,,8,7,4000,236,0.9882,0.9919000267982483,False,2.8528330326080322,0.03252638876438141
relu,,8,7,16000,200,0.99,0.9939000010490417,False,3.9973413944244385,0.026249639689922333
relu,,8,7,64000,218,0.9891,0.9916999936103821,False,4.795965194702148,0.030056755989789963
relu,,8,8,1000,531,0.97345,0.9790999889373779,False,1.0863746404647827,0.05072181671857834
relu,,8,8,4000,502,0.9749,0.9817000031471252,False,1.3593707084655762,0.04472985118627548
relu,,8,8,16000,489,0.97555,0.9817000031471252,False,1.763846755027771,0.044312652200460434
relu,,8,8,64000,497,0.97515,0.9815999865531921,False,2.318725824356079,0.04502469673752785
relu,,8,9,1000,10000,0.5,0.5,False,0.653952419757843,0.6931471228599548
relu,,8,9,4000,10000,0.5,0.5,False,0.653952419757843,0.6931471824645996
relu,,8,9,16000,10000,0.5,0.5,False,0.653952419757843,0.6931471824645996
relu,,8,9,64000,10000,0.5,0.5,False,0.653952419757843,0.6931471824645996
