A,source,type,dmu,var,max_abs_alpha_over_A,t,G_lo,G_hi,G_n
5.0,search,single_unit,0.9677930348298258,0.7197872029944609,1.0,1.0,-0.23806764798117397,-0.23806764798117397,-0.23806764798117397
5.0,search,single_unit,0.9677930348298256,0.7197872029944611,1.0,1.0,-0.2380676479811784,-0.2380676479811784,-0.2380676479811784
5.0,search,single_unit,0.9677930348298258,0.7197872030098025,1.0,-1.0,-0.23806764819426585,-0.23806764819426585,-0.23806764819426585
5.0,search,pair,0.9677930348298259,0.7197872030111679,1.0,-5.519328594384454e-19,-0.23806764821323145,-0.23806764821323145,-0.23806764821323145
5.0,search,single_unit,0.9677930348298257,0.7197872029944693,1.0,1.0,-0.2380676479812921,-0.2380676479812921,-0.2380676479812921
5.0,search,pair,0.9677930348298258,0.7197872030038353,1.0,-1.2701784876603075e-16,-0.23806764811138548,-0.23806764811138548,-0.23806764811138548
5.0,search,pair,0.9677930348298259,0.7197872029944609,1.0,0.1990743873994504,-0.23806764798117463,-0.23806764798117463,-0.23806764798117463
5.0,search,single_unit,0.9677930348298258,0.7197872029989496,1.0,1.0,-0.23806764804352243,-0.23806764804352243,-0.23806764804352243
5.0,search,single_unit,0.9677930348298258,0.719787202994524,1.0,1.0,-0.23806764798205315,-0.23806764798205315,-0.23806764798205315
5.0,search,single_unit,0.9677930348298257,0.7197872029944554,1.0,1.0,-0.23806764798109725,-0.23806764798109725,-0.23806764798109725
5.0,search,single_unit,0.9677930348298257,0.7197872029945116,1.0,-1.0,-0.23806764798187852,-0.23806764798187852,-0.23806764798187852
5.0,search,single_unit,0.9677930348298258,0.7197872029944606,1.0,1.0,-0.23806764798117364,-0.23806764798117364,-0.23806764798117364
5.0,search,single_unit,0.9677930348298258,0.7197872029887026,1.0,-1.0,-0.2380676479011944,-0.2380676479011944,-0.2380676479011944
5.0,search,pair,0.9677930348298258,0.7197872030306578,1.0,-1.0686717680595049e-17,-0.2380676484839408,-0.2380676484839408,-0.2380676484839408
5.0,search,single_unit,0.9677930348298257,0.7197872029944609,1.0,1.0,-0.23806764798117397,-0.23806764798117397,-0.23806764798117397
5.0,search,single_unit,0.9677930348298257,0.7197872029944606,1.0,-1.0,-0.23806764798117364,-0.23806764798117364,-0.23806764798117364
5.0,search,pair,0.9677930348298258,0.7197872030283723,1.0,-8.181990533431299e-18,-0.23806764845219575,-0.23806764845219575,-0.23806764845219575
