a,seed,arm,budget,placed_at,placed,gap_final,w2_final,R_final,loss_final,grad_100,grad_500,grad_2000,grad_8000,grad_11999
1.3,0,jump,60000,,False,-0.02575918426248197,6.299282713533407,0.2701860044363887,0.69253721479185,0.24125950168239552,1.4777999630055982e-05,1.475279876419688e-05,1.519806595887831e-05,1.1239095204195695e-05
1.3,1,jump,60000,26050.0,True,0.08359098118582331,90.3845329343879,3.876732784817872,0.0009260883806289777,5.464032766738244,1.2523622557550015e-05,1.252598737144778e-05,0.0009884837853343146,0.006631420595383793
1.3,2,jump,60000,51950.0,True,0.08161457798059324,25.460488469017317,1.0920398342597826,0.060210870536963876,0.06678440210566594,5.519803069758671e-07,5.519131042493768e-07,5.539550191656234e-07,0.002545952668388218
1.3,3,jump,60000,,False,-0.030446591674580747,9.289733768627977,0.39845108774543286,0.6913315333236505,1.5464268953164606,0.0005383285274670024,0.0004931338841834502,0.005276423892302601,0.00046145454409574603
1.3,4,jump,60000,,False,-0.0014066692205698672,4.25711374197044,0.18259421027462613,0.6931463221762794,0.06050010076086347,2.3610230654101465e-08,2.363689369020649e-08,7.679857214132136e-06,3.491460469836233e-07
1.3,5,jump,60000,22400.0,True,0.08338775109959817,97.29702425314406,4.173220257288898,0.0006358165480288538,0.20369398551275875,6.566118764650424e-06,6.577197532853378e-06,8.44664906286452e-05,0.00011654454105927852
1.3,6,jump,60000,43450.0,True,0.08151209207739596,45.96232567304538,1.9713954259465893,0.01225901068357268,0.03464955304676811,1.0049057637979918e-06,1.0053165653613737e-06,1.0545264727996604e-06,0.05105081806372417
1.3,7,jump,60000,,False,-0.00937848984521783,4.117143689811664,0.17659067767363898,0.6931157303045665,0.02115789892888254,8.658934523917171e-07,8.661509067798018e-07,0.03983353724551412,0.005466087264214745
1.3,8,jump,60000,,False,-0.0023480314335694308,3.877787805163605,0.1663243325908159,0.6931452433991881,0.12824347890035503,3.183821125956287e-08,3.177773076927003e-08,0.005997312344171117,9.710043177517728e-08
1.3,9,jump,60000,1200.0,True,0.08457854443647328,132.63366050673787,5.6888633858420485,8.024620631856541e-05,5.480598329174773,1.7179701857666185,0.0053181902859605204,0.0026145486726474603,0.00169259830636438
1.3,10,jump,60000,10450.0,True,0.08454130627326428,121.78567882841054,5.223576628737228,0.0001245560351104985,0.059323252417513093,3.0121301984672445e-05,3.0509181219350577e-05,6.70853341354075e-05,0.0060369861754930015
