seed,raw_distance,normalized_distance,init_norm,a,kind
181,6017.69970703125,1.0000398417430787,2.300139904022217,1.05,constructed
182,6017.24072265625,0.9999635663082641,2.2699458599090576,1.05,constructed
183,6016.98583984375,0.9999212090987181,2.4318902492523193,1.05,constructed
184,6017.57373046875,1.0000189065705445,2.515415668487549,1.05,constructed
185,6017.06884765625,0.9999350035922484,2.494067668914795,1.05,constructed
186,6017.611328125,1.000025154664673,2.3892619609832764,1.05,constructed
187,6018.05126953125,1.0000982654803836,2.603907823562622,1.05,constructed
188,6017.4345703125,0.9999957805078613,2.518388032913208,1.05,constructed
189,6017.13720703125,0.999946363763391,2.4532861709594727,1.05,constructed
190,6017.720703125,1.000043330938501,2.5090949535369873,1.05,constructed
191,6017.060546875,0.9999336241428953,2.508425235748291,1.05,constructed
192,6017.89013671875,1.0000714879341188,2.282733678817749,1.05,constructed
193,6018.009765625,1.0000913682336183,2.700817108154297,1.05,constructed
194,6017.79248046875,1.0000552591182008,2.482640027999878,1.05,constructed
195,6017.68212890625,1.0000369205562134,2.6759424209594727,1.05,constructed
196,6017.3701171875,0.9999850694893554,2.524729013442993,1.05,constructed
197,6017.20947265625,0.9999583730871703,2.5909712314605713,1.05,constructed
198,6017.29150390625,0.9999720052925415,2.3976314067840576,1.05,constructed
