family,window,a,seed,stored_cross_step,stored_cross_w2,cross_step,cross_w2,G_cross,reproduced,prev_step,G_prev,w2_prev,cross_w2_interp
Block 3,H10,1.5,100058,1300,2.941563457225996,1300,2.941563457225996,0.006352450030655987,True,1250,-0.0020684526327343633,2.835254746041013,2.861367686936193
Block 3,H10,1.5,100059,1700,4.23068228423044,1700,4.23068228423044,0.001720329230896045,True,1650,-0.0036709183672987145,4.101872502622239,4.189579510059926
Block 3,H10,1.5,100060,3250,4.904218985565721,3250,4.904218985565721,0.0031078605387273583,True,3200,-0.0011412697550285955,4.7890416158623275,4.819976993085142
Block 3,H10,1.5,100061,1750,3.573854256313546,1750,3.573854256313546,0.0010815312514269593,True,1700,-0.004516826400265295,3.4728832955249143,3.55434795529212
Block 3,H10,1.5,100062,1400,4.17059435753549,1400,4.17059435753549,0.005428777403513774,True,1350,-0.0003743560411582081,4.034134393931459,4.042937329834699
Block 3,H10,1.5,100063,1550,4.0656691626547685,1550,4.0656691626547685,0.0023570051992738428,True,1500,-0.0026786653496873036,3.946658555691476,4.009964839535559
Block 3,H10,1.5,100064,2500,5.261268150243921,2500,5.261268150243921,0.000985141584651572,True,2450,-0.002139197627995415,5.157428349668824,5.228526217077904
Block 3,H10,1.5,100065,2300,3.703630541913348,2300,3.703630541913348,0.0009892596127061282,True,2250,-0.006435828100995966,3.6141066949700007,3.6917030968015943
Block 3,H10,1.5,100066,1900,3.670362663301619,1900,3.670362663301619,0.0007773306008900249,True,1850,-0.004233917579698598,3.572101893369051,3.65512073143493
Block 3,H10,1.5,100067,1150,3.287289448974755,1150,3.287289448974755,0.00045097615047007267,True,1100,-0.008379041749022598,3.168116108815049,3.281202900250208
Block 3,H10,1.5,100068,6450,3.8962619430644634,6450,3.8962619430644634,0.006087850528221583,True,6400,-0.003375510836372886,3.708464665433182,3.775450562015066
Block 3,H10,1.5,100069,4850,4.118954636954045,4850,4.118954636954045,0.005975171592698558,True,4800,-0.002882079281784744,3.9351530840327396,3.9949606535756153
Block 3,H10,1.5,100070,2000,3.9156189285618677,2000,3.9156189285618677,0.0017987966870713912,True,1950,-0.003367158689744798,3.816846273109219,3.8812260791387336
Block 3,H10,1.5,100071,2300,4.182761301671371,2300,4.182761301671371,0.0013238498538812316,True,2250,-0.002689931272506829,4.086204895430937,4.150914476877582
Block 3,H10,1.5,100073,3100,6.009992076733107,3100,6.009992076733107,0.0013900059406957155,True,3050,-0.0008685481851022914,5.912741867413891,5.950140348079118
Block 3,H10,1.5,100074,2400,3.8696947985223353,2400,3.8696947985223353,0.002522164749065414,True,2350,-0.0028164994134805,3.771274474881372,3.8231977229766674
Block 3,H10,1.5,100075,1900,4.053619283710111,1900,4.053619283710111,0.0036417735171907495,True,1850,-0.0011415676951007647,3.9418498875549823,3.9685241987297206
Block 3,H10,1.5,100076,9700,3.791616214171399,9700,3.791616214171399,0.0024289206875911518,True,9650,-0.008599147948106012,3.584057422920797,3.745901605511083
Block 3,H10,1.5,100077,2150,4.060626839784224,2150,4.060626839784224,0.002860621761572979,True,2100,-0.0018602843844059969,3.9643289862745674,4.002275386308047
Block 3,H10,1.5,100078,7750,4.102065666506453,7750,4.102065666506453,0.006676007270804085,True,7700,-0.0019467558338033264,3.9254977035220175,3.9653613421066205
Block 3,H10,1.5,100079,7050,4.056717564811591,7050,4.056717564811591,0.008559110112983603,True,7000,-0.0006152281508193802,3.8760229204099894,3.8881402447053857
Block 3,H10,1.5,100080,2100,3.4293231770807964,2100,3.4293231770807964,0.007061479801055093,True,2050,-0.0006121574217168302,3.310347775489209,3.3198389298103828
Block 3,H10,1.5,100081,1800,3.60277718628846,1800,3.60277718628846,0.004965986041448378,True,1750,-0.004472892679729501,3.446529514610357,3.520572108812325
Block 3,H10,1.5,100082,2700,4.494574324248543,2700,4.494574324248543,0.00228537762477643,True,2650,-0.0016070748111647326,4.392640906112561,4.434726103400951
Block 3,H10,1.5,100083,1850,4.454630048775129,1850,4.454630048775129,0.0034767824350159238,True,1800,-0.002091337368455015,4.31206595854129,4.36561179085617
