activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
tanh,,3,3,178,96,94,-1,False,-1,0.953,False,0.0,0.6677630830090493
tanh,,3,3,179,64,84,-1,False,-1,0.958,False,0.0,0.6779308330733329
tanh,,3,3,180,85,86,-1,False,-1,0.957,False,0.0,0.6651387079618871
tanh,,3,3,181,60,60,-1,False,-1,0.97,False,0.0,0.6694403330329806
tanh,,3,3,182,88,81,-1,False,-1,0.9595,False,0.0,0.6706081249285489
tanh,,3,3,183,85,85,-1,False,-1,0.9575,False,0.0,0.6674690421205014
tanh,,3,3,184,58,71,-1,False,-1,0.9645,False,0.0,0.6676580000203103
tanh,,3,3,185,87,91,-1,False,-1,0.9545,False,0.0,0.6693060419056565
tanh,,3,3,186,51,75,-1,False,-1,0.9625,False,0.0,0.6667431669775397
tanh,,3,3,187,95,98,-1,False,-1,0.951,False,0.0,0.6733165420591831
tanh,,3,3,188,76,85,-1,False,-1,0.9575,False,0.0,0.6686952910386026
tanh,,3,3,189,79,86,-1,False,-1,0.957,False,0.0,0.666943792020902
tanh,,3,3,190,80,83,-1,False,-1,0.9585,False,0.0,0.6671417080797255
tanh,,3,3,191,88,104,-1,False,-1,0.948,False,0.0,0.6737986248917878
tanh,,3,3,192,80,93,-1,False,-1,0.9535,False,0.0,0.6673570838756859
tanh,,3,3,193,47,63,-1,False,-1,0.9685,False,0.0,0.6692179581150413
tanh,,3,3,194,49,57,-1,False,-1,0.9715,False,0.0,0.6653467500582337
tanh,,3,3,195,66,59,-1,False,-1,0.9705,False,0.0,0.665478500071913
tanh,,3,3,196,78,100,-1,False,-1,0.95,False,0.0,0.670516834128648
tanh,,3,3,197,88,86,-1,False,-1,0.957,False,0.0,0.6626385839190334
tanh,,3,3,198,52,89,-1,False,-1,0.9555,False,0.0,0.6671345420181751
tanh,,3,3,199,88,104,-1,False,-1,0.948,False,0.0,0.6659087911248207
relu,,3,3,100,66,80,-1,False,-1,0.96,False,0.2222222222222222,0.6032918330747634
relu,,3,3,101,67,72,-1,False,-1,0.964,False,0.2222222222222222,0.60048475000076
relu,,3,3,102,1000,1000,-1,False,-1,0.5,True,0.7777777777777778,0.5993280420079827
relu,,3,3,103,119,126,-1,False,-1,0.937,False,0.3333333333333333,0.5948097908403724
relu,,3,3,104,60,74,-1,False,-1,0.963,False,0.1111111111111111,0.6264310830738395
relu,,3,3,105,42,78,-1,False,-1,0.961,False,0.3333333333333333,0.5956317922100425
relu,,3,3,106,1000,1000,-1,False,-1,0.5,True,0.4444444444444444,0.6015850000549108
