a,opt,budget,w2,gstar,R,solved
1.02,adam,2000,2.4521594047546387,0.0016156047879616,0.0019808602375833,False
1.02,adam,2000,2.0993409156799316,0.0016156047879616,0.0016958526174681,False
1.02,adam,2000,1.321922779083252,0.0016156047879616,0.0010678523856012,False
1.02,adam,2000,0.1192800849676132,0.0016156047879616,9.635473819107316e-05,False
1.02,adam,2000,1.6543421745300293,0.0016156047879616,0.0013363815690487,False
1.02,adam,2000,0.7251890897750854,0.0016156047879616,0.000585809482809,False
1.02,adam,2000,1.217858076095581,0.0016156047879616,0.0009837886693988,False
1.02,adam,2000,0.1791749447584152,0.0016156047879616,0.0001447379493172,False
1.02,adam,2000,1.985611915588379,0.0016156047879616,0.0016039820589291,False
1.02,adam,2000,2.7605443000793457,0.0016156047879616,0.0022299742942941,False
1.02,adam,2000,2.2275843620300293,0.0016156047879616,0.001799447980442,False
1.02,adam,2000,2.890148162841797,0.0016156047879616,0.0023346686049028,False
1.02,adam,2000,1.77324378490448,0.0016156047879616,0.0014324305745574,False
1.02,adam,2000,0.2667363286018371,0.0016156047879616,0.0002154702448062,False
1.02,adam,2000,0.2058672755956649,0.0016156047879616,0.0001663000780684,False
1.02,adam,2000,2.8277440071105957,0.0016156047879616,0.0022842583785088,False
1.02,adam,2000,0.7136054039001465,0.0016156047879616,0.0005764521536281,False
1.02,adam,2000,2.07173752784729,0.0016156047879616,0.0016735545346949,False
1.02,adam,2000,0.8377014398574829,0.0016156047879616,0.000676697228558,False
1.02,adam,2000,3.916680812835694,0.0016156047879616,0.0031639041370674,False
1.02,adam,2000,2.24273419380188,0.0016156047879616,0.0018116860508157,False
1.02,adam,2000,2.0561983585357666,0.0016156047879616,0.0016610019565246,False
1.02,adam,2000,0.3384093344211578,0.0016156047879616,0.0002733678704908,False
1.02,adam,2000,2.938716411590576,0.0016156047879616,0.0023739021525135,False
1.02,adam,2000,2.4122462272644043,0.0016156047879616,0.0019486182772553,False
1.02,adam,2000,3.4348320960998535,0.0016156047879616,0.0027746655901516,False
1.02,adam,2000,1.731617450714111,0.0016156047879616,0.0013988047221458,False
1.02,adam,2000,0.2531621158123016,0.0016156047879616,0.0002045049632184,False
1.02,adam,2000,0.506855309009552,0.0016156047879616,0.0004094389320198,False
1.02,adam,2000,1.3859091997146606,0.0016156047879616,0.0011195407693695,False
1.02,adam,2000,1.1851027011871338,0.0016156047879616,0.000957328799132,False
1.02,adam,2000,2.0663673877716064,0.0016156047879616,0.0016692165226857,False
1.02,adam,2000,2.531585216522217,0.0016156047879616,0.002045020598473,False
1.02,adam,2000,2.318295478820801,0.0016156047879616,0.0018727246377463,False
1.02,adam,2000,0.4996935427188873,0.0016156047879616,0.000403653640065,False
1.02,adam,2000,1.823993682861328,0.0016156047879616,0.0014734264636212,False
1.02,adam,2000,2.6454687118530273,0.0016156047879616,0.0021370159586362,False
1.02,adam,2000,2.985024690628052,0.0016156047879616,0.0024113100911811,False
1.02,adam,2000,3.0933923721313477,0.0016156047879616,0.0024988497637296,False
1.02,adam,2000,2.3061256408691406,0.0016156047879616,0.0018628938135146,False
1.02,adam,2000,0.7285428643226624,0.0016156047879616,0.0005885186699174,False
1.02,adam,2000,2.2047922611236572,0.0016156047879616,0.001781036466766,False
1.02,adam,2000,1.776800513267517,0.0016156047879616,0.0014353037082438,False
1.02,adam,2000,3.233872175216675,0.0016156047879616,0.0026123296849679,False
1.02,adam,2000,2.50499963760376,0.0016156047879616,0.0020235447041773,False
1.02,adam,2000,1.5780085325241089,0.0016156047879616,0.0012747190702951,False
1.02,adam,2000,2.7390036582946777,0.0016156047879616,0.0022125737122926,False
1.02,adam,2000,0.203702688217163,0.0016156047879616,0.0001645515192021,False
1.02,adam,2000,2.085287570953369,0.0016156047879616,0.0016845002919545,False
1.02,adam,2000,1.1525509357452393,0.0016156047879616,0.0009310334050798,False
1.02,adam,2000,1.6416988372802734,0.0016156047879616,0.0013261682509505,False
1.02,adam,2000,0.2346196919679641,0.0016156047879616,0.0001895263488467,False
